TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20200101200103,1,85,19,1,60,0,0
20200101200158,1,43,19,1,0,0,0
20200101200158,2,15,22,1,0,0,0
20200101200158,3,12,22,1,0,0,0
20200101200215,1,23,19,2,0,0,0
20200101200256,1,18,18,1,0,0,0
20200101200256,2,59,26,1,0,0,0
20200101200256,3,85,26,2,60,0,0
20200101200256,6,14,25,2,0,0,0
20200101200395,1,20,18,1,0,0,0
20200101200395,2,42,24,2,0,0,0
20200101200395,3,23,25,1,0,0,0
20200101200395,4,14,25,1,0,0,0
20200101200395,5,6,25,2,0,0,0
20200101200395,6,45,28,1,0,0,0
20200101200512,1,27,18,2,0,0,0
20200101200512,2,25,28,1,0,0,0
20200101200532,1,52,19,2,0,0,0
20200101200576,1,30,18,2,0,0,0
20200101200576,2,29,20,1,0,0,0
20200101200576,3,7,22,1,0,0,0
20200101200586,1,58,18,1,0,0,0
20200101200586,2,68,20,2,0,0,0
20200101200641,1,45,19,2,0,0,0
20200101200655,1,78,19,2,0,0,0
20200101200694,1,85,19,2,60,0,0
20200101200719,1,40,18,2,0,0,0
20200101200719,2,42,20,1,0,0,0
20200101200719,3,11,22,2,0,0,0
20200101200719,4,9,22,1,0,0,0
20200101200719,5,4,22,1,0,0,0
20200101200734,1,38,18,2,0,0,0
20200101200734,2,38,20,1,0,0,0
20200101200734,3,13,22,1,0,0,0
20200101200734,4,8,22,1,0,0,0
20200101200759,1,85,18,2,60,0,0
20200101200759,2,69,22,1,0,0,0
20200101200771,1,41,18,1,0,0,0
20200101200771,2,40,20,2,0,0,0
20200101200771,3,12,22,1,0,0,0
20200101200771,4,10,22,2,0,0,0
20200101200780,1,41,18,1,0,0,0
20200101200780,2,11,22,1,0,0,0
20200101200780,3,29,26,2,0,0,0
20200101200809,1,29,18,1,0,0,0
20200101200809,2,34,20,2,0,0,0
20200101200814,1,36,18,2,0,0,0
20200101200814,2,36,20,1,0,0,0
20200101200814,3,7,22,1,0,0,0
20200101200814,4,5,22,1,0,0,0
20200101200814,5,1,22,1,0,0,0
20200101200829,1,75,18,1,0,0,0
20200101200829,2,69,20,2,0,0,0
20200101200838,1,73,19,2,0,0,0
20200101200849,1,67,18,1,0,0,0
20200101200849,2,66,20,1,0,0,0
20200101200861,1,80,18,1,0,0,0
20200101200861,2,80,20,2,0,0,0
20200101200890,1,71,18,1,0,0,0
20200101200890,2,72,20,2,0,0,0
20200101200915,1,28,18,1,0,0,0
20200101200915,2,25,20,2,0,0,0
20200101200964,1,42,19,2,0,0,0
20200101200973,1,59,19,1,0,0,0
20200101201014,1,54,18,2,0,0,0
20200101201014,2,54,20,1,0,0,0
20200101201058,1,70,18,2,0,0,0
20200101201058,2,85,24,2,60,0,0
20200101201073,1,55,18,1,0,0,0
20200101201073,2,57,20,2,0,0,0
20200101201073,3,17,22,1,0,0,0
20200101201074,1,60,19,1,0,0,0
20200101201099,1,74,19,2,0,0,0
20200101201110,1,45,19,1,0,0,0
20200101201119,1,57,19,2,0,0,0
20200101201134,1,40,19,1,0,0,0
20200101201144,1,76,18,2,0,0,0
20200101201144,2,56,22,2,0,0,0
20200101201230,1,80,18,1,0,0,0
20200101201230,2,80,20,2,0,0,0
20200101201230,3,57,22,1,0,0,0
20200101201268,1,51,18,1,0,0,0
20200101201268,2,50,20,2,0,0,0
20200101201270,1,53,18,2,0,0,0
20200101201270,2,54,20,1,0,0,0
20200101201270,3,27,22,2,0,0,0
20200101201270,4,27,22,2,0,0,0
20200101201274,1,69,19,1,0,0,0
20200101201310,1,38,18,1,0,0,0
20200101201310,2,70,24,2,0,0,0
20200101201310,3,73,24,1,0,0,0
